frame,Neutral,Happiness,Sadness,Surprise,Fear,Disgust,Anger
000001,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000002,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000003,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000004,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000005,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000006,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000007,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000008,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000009,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000010,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000011,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000012,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000013,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000014,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000015,0.636834,0.060293417,0.066664405,0.10134664,0.03577125,0.005584146,0.093506105
000016,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000017,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000018,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000019,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000020,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000021,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000022,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000023,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000024,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000025,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000026,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000027,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000028,0.64309156,0.042903103,0.07000392,0.09420563,0.043484822,0.005804628,0.10050638
000029,0.64934903,0.025512792,0.07334343,0.08706462,0.051198397,0.00602511,0.107506655
000030,0.64934903,0.025512792,0.07334343,0.08706462,0.051198397,0.00602511,0.107506655
